Symbol	RNA
Tm2d1	Tm2d1	Gene Expression
Patj	Patj	Gene Expression
Usp1	Usp1	Gene Expression
Dock7	Dock7	Gene Expression
Angptl3	Angptl3	Gene Expression
Atg4c	Atg4c	Gene Expression
Alg6	Alg6	Gene Expression
Itgb3bp	Itgb3bp	Gene Expression
Efcab7	Efcab7	Gene Expression
Pgm2	Pgm2	Gene Expression
Ror1	Ror1	Gene Expression
Ube2u	Ube2u	Gene Expression
Jak1	Jak1	Gene Expression
E130102H24Rik	E130102H24Rik	Gene Expression
0610043K17Rik	0610043K17Rik	Gene Expression
Ak4	Ak4	Gene Expression
Leprot	Leprot	Gene Expression
Pde4b	Pde4b	Gene Expression
Sgip1	Sgip1	Gene Expression
Wdr78	Wdr78	Gene Expression
Mier1	Mier1	Gene Expression
Slc35d1	Slc35d1	Gene Expression
Oma1	Oma1	Gene Expression
Gm12718	Gm12718	Gene Expression
Dab1	Dab1	Gene Expression
C8b	C8b	Gene Expression
C8a	C8a	Gene Expression
Fyb2	Fyb2	Gene Expression
Prkaa2	Prkaa2	Gene Expression
Plpp3	Plpp3	Gene Expression
Usp24	Usp24	Gene Expression
Pcsk9	Pcsk9	Gene Expression
Dhcr24	Dhcr24	Gene Expression
Gm12744	Gm12744	Gene Expression
Pars2	Pars2	Gene Expression
Ttc4	Ttc4	Gene Expression
Acot11	Acot11	Gene Expression
Ssbp3	Ssbp3	Gene Expression
Mrpl37	Mrpl37	Gene Expression
Cyb5rl	Cyb5rl	Gene Expression
Tceanc2	Tceanc2	Gene Expression
Tmem59	Tmem59	Gene Expression
Lrrc42	Lrrc42	Gene Expression
Hspb11	Hspb11	Gene Expression
Dio1	Dio1	Gene Expression
Yipf1	Yipf1	Gene Expression
Ndc1	Ndc1	Gene Expression
Magoh	Magoh	Gene Expression
0610037L13Rik	0610037L13Rik	Gene Expression
Cpt2	Cpt2	Gene Expression
Podn	Podn	Gene Expression
Scp2	Scp2	Gene Expression
Echdc2	Echdc2	Gene Expression
Zyg11a	Zyg11a	Gene Expression
Zyg11b	Zyg11b	Gene Expression
Coa7	Coa7	Gene Expression
Gpx7	Gpx7	Gene Expression
Zcchc11	Zcchc11	Gene Expression
Prpf38a	Prpf38a	Gene Expression
Orc1	Orc1	Gene Expression
Cc2d1b	Cc2d1b	Gene Expression
Gm17354	Gm17354	Gene Expression
Zfyve9	Zfyve9	Gene Expression
3110021N24Rik	3110021N24Rik	Gene Expression
Btf3l4	Btf3l4	Gene Expression
Txndc12	Txndc12	Gene Expression
Kti12	Kti12	Gene Expression
Rab3b	Rab3b	Gene Expression
Nrd1	Nrd1	Gene Expression
Osbpl9	Osbpl9	Gene Expression
Eps15	Eps15	Gene Expression
Ttc39a	Ttc39a	Gene Expression
Rnf11	Rnf11	Gene Expression
Cdkn2c	Cdkn2c	Gene Expression
Faf1	Faf1	Gene Expression
Spata6	Spata6	Gene Expression
Cmpk1	Cmpk1	Gene Expression
Stil	Stil	Gene Expression
Tal1	Tal1	Gene Expression
Pdzk1ip1	Pdzk1ip1	Gene Expression
Cyp4a12a	Cyp4a12a	Gene Expression
Cyp4a12b	Cyp4a12b	Gene Expression
Cyp4a14	Cyp4a14	Gene Expression
Cyp4a10	Cyp4a10	Gene Expression
Cyp4a31	Cyp4a31	Gene Expression
Cyp4a32	Cyp4a32	Gene Expression
Cyp4b1	Cyp4b1	Gene Expression
Efcab14	Efcab14	Gene Expression
Atpaf1	Atpaf1	Gene Expression
Mob3c	Mob3c	Gene Expression
Mknk1	Mknk1	Gene Expression
Faah	Faah	Gene Expression
Nsun4	Nsun4	Gene Expression
Uqcrh	Uqcrh	Gene Expression
Lrrc41	Lrrc41	Gene Expression
Rad54l	Rad54l	Gene Expression
Pomgnt1	Pomgnt1	Gene Expression
Lurap1	Lurap1	Gene Expression
Pik3r3	Pik3r3	Gene Expression
Mast2	Mast2	Gene Expression
Ipp	Ipp	Gene Expression
Tmem69	Tmem69	Gene Expression
Gpbp1l1	Gpbp1l1	Gene Expression
Ccdc17	Ccdc17	Gene Expression
Nasp	Nasp	Gene Expression
Akr1a1	Akr1a1	Gene Expression
Prdx1	Prdx1	Gene Expression
Mmachc	Mmachc	Gene Expression
Ccdc163	Ccdc163	Gene Expression
Tesk2	Tesk2	Gene Expression
Toe1	Toe1	Gene Expression
Gm12996	Gm12996	Gene Expression
Zswim5	Zswim5	Gene Expression
Urod	Urod	Gene Expression
Hectd3	Hectd3	Gene Expression
Eif2b3	Eif2b3	Gene Expression
Btbd19	Btbd19	Gene Expression
Plk3	Plk3	Gene Expression
Rps8	Rps8	Gene Expression
Kif2c	Kif2c	Gene Expression
Tmem53	Tmem53	Gene Expression
Rnf220	Rnf220	Gene Expression
Eri3	Eri3	Gene Expression
Dmap1	Dmap1	Gene Expression
Slc6a9	Slc6a9	Gene Expression
Ccdc24	Ccdc24	Gene Expression
B4galt2	B4galt2	Gene Expression
Atp6v0b	Atp6v0b	Gene Expression
Dph2	Dph2	Gene Expression
Ipo13	Ipo13	Gene Expression
St3gal3	St3gal3	Gene Expression
9530034E10Rik	9530034E10Rik	Gene Expression
Kdm4a	Kdm4a	Gene Expression
Ptprf	Ptprf	Gene Expression
Szt2	Szt2	Gene Expression
Med8	Med8	Gene Expression
Elovl1	Elovl1	Gene Expression
Cdc20	Cdc20	Gene Expression
Tie1	Tie1	Gene Expression
2610528J11Rik	2610528J11Rik	Gene Expression
Tmem125	Tmem125	Gene Expression
Ebna1bp2	Ebna1bp2	Gene Expression
Slc2a1	Slc2a1	Gene Expression
Zfp691	Zfp691	Gene Expression
Svbp	Svbp	Gene Expression
AU022252	AU022252	Gene Expression
P3h1	P3h1	Gene Expression
Ybx1	Ybx1	Gene Expression
Ppih	Ppih	Gene Expression
Ppcs	Ppcs	Gene Expression
Zmynd12	Zmynd12	Gene Expression
Frg2f1	Frg2f1	Gene Expression
Foxj3	Foxj3	Gene Expression
Hivep3	Hivep3	Gene Expression
Scmh1	Scmh1	Gene Expression
Ctps	Ctps	Gene Expression
Cited4	Cited4	Gene Expression
Nfyc	Nfyc	Gene Expression
Exo5	Exo5	Gene Expression
Zfp69	Zfp69	Gene Expression
Smap2	Smap2	Gene Expression
Zmpste24	Zmpste24	Gene Expression
Rlf	Rlf	Gene Expression
Ppt1	Ppt1	Gene Expression
Cap1	Cap1	Gene Expression
Mfsd2a	Mfsd2a	Gene Expression
Mycl	Mycl	Gene Expression
Trit1	Trit1	Gene Expression
Bmp8b	Bmp8b	Gene Expression
Ppie	Ppie	Gene Expression
Heyl	Heyl	Gene Expression
Pabpc4	Pabpc4	Gene Expression
Macf1	Macf1	Gene Expression
Gm12925	Gm12925	Gene Expression
Ndufs5	Ndufs5	Gene Expression
Akirin1	Akirin1	Gene Expression
Mycbp	Mycbp	Gene Expression
Rragc	Rragc	Gene Expression
Utp11	Utp11	Gene Expression
Fhl3	Fhl3	Gene Expression
Sf3a3	Sf3a3	Gene Expression
Inpp5b	Inpp5b	Gene Expression
Mtf1	Mtf1	Gene Expression
1110065P20Rik	1110065P20Rik	Gene Expression
Yrdc	Yrdc	Gene Expression
Cdca8	Cdca8	Gene Expression
9930104L06Rik	9930104L06Rik	Gene Expression
Gnl2	Gnl2	Gene Expression
Snip1	Snip1	Gene Expression
Meaf6	Meaf6	Gene Expression
Zc3h12a	Zc3h12a	Gene Expression
Mrps15	Mrps15	Gene Expression
Oscp1	Oscp1	Gene Expression
Lsm10	Lsm10	Gene Expression
Stk40	Stk40	Gene Expression
Eva1b	Eva1b	Gene Expression
Sh3d21	Sh3d21	Gene Expression
Thrap3	Thrap3	Gene Expression
Map7d1	Map7d1	Gene Expression
Trappc3	Trappc3	Gene Expression
Adprhl2	Adprhl2	Gene Expression
Ago3	Ago3	Gene Expression
Ago1	Ago1	Gene Expression
Ago4	Ago4	Gene Expression
Clspn	Clspn	Gene Expression
5730409E04Rik	5730409E04Rik	Gene Expression
Psmb2	Psmb2	Gene Expression
Ncdn	Ncdn	Gene Expression
AU040320	AU040320	Gene Expression
Zmym4	Zmym4	Gene Expression
Sfpq	Sfpq	Gene Expression
Zmym1	Zmym1	Gene Expression
Zmym6	Zmym6	Gene Expression
Tmem35b	Tmem35b	Gene Expression
Smim12	Smim12	Gene Expression
Gja4	Gja4	Gene Expression
Zscan20	Zscan20	Gene Expression
Phc2	Phc2	Gene Expression
Zfp362	Zfp362	Gene Expression
Trim62	Trim62	Gene Expression
Azin2	Azin2	Gene Expression
Ak2	Ak2	Gene Expression
Rnf19b	Rnf19b	Gene Expression
Fndc5	Fndc5	Gene Expression
S100pbp	S100pbp	Gene Expression
Yars	Yars	Gene Expression
C77080	C77080	Gene Expression
Rbbp4	Rbbp4	Gene Expression
Gm26722	Gm26722	Gene Expression
Zbtb8os	Zbtb8os	Gene Expression
Zbtb8a	Zbtb8a	Gene Expression
Bsdc1	Bsdc1	Gene Expression
Marcksl1	Marcksl1	Gene Expression
Hdac1	Hdac1	Gene Expression
Fam167b	Fam167b	Gene Expression
Eif3i	Eif3i	Gene Expression
Tmem234	Tmem234	Gene Expression
Iqcc	Iqcc	Gene Expression
Ccdc28b	Ccdc28b	Gene Expression
Txlna	Txlna	Gene Expression
Kpna6	Kpna6	Gene Expression
Tmem39b	Tmem39b	Gene Expression
Khdrbs1	Khdrbs1	Gene Expression
Ptp4a2	Ptp4a2	Gene Expression
Col16a1	Col16a1	Gene Expression
Pef1	Pef1	Gene Expression
Tinagl1	Tinagl1	Gene Expression
Serinc2	Serinc2	Gene Expression
Zcchc17	Zcchc17	Gene Expression
Snrnp40	Snrnp40	Gene Expression
Pum1	Pum1	Gene Expression
Sdc3	Sdc3	Gene Expression
Laptm5	Laptm5	Gene Expression
Mecr	Mecr	Gene Expression
Srsf4	Srsf4	Gene Expression
Epb41	Epb41	Gene Expression
Ythdf2	Ythdf2	Gene Expression
Gmeb1	Gmeb1	Gene Expression
Taf12	Taf12	Gene Expression
Rab42	Rab42	Gene Expression
Snhg12	Snhg12	Gene Expression
Trnau1ap	Trnau1ap	Gene Expression
Rcc1	Rcc1	Gene Expression
Phactr4	Phactr4	Gene Expression
Med18	Med18	Gene Expression
Sesn2	Sesn2	Gene Expression
Atpif1	Atpif1	Gene Expression
Dnajc8	Dnajc8	Gene Expression
Eya3	Eya3	Gene Expression
Xkr8	Xkr8	Gene Expression
Rpa2	Rpa2	Gene Expression
Themis2	Themis2	Gene Expression
Ppp1r8	Ppp1r8	Gene Expression
Stx12	Stx12	Gene Expression
Fam76a	Fam76a	Gene Expression
Fgr	Fgr	Gene Expression
Ahdc1	Ahdc1	Gene Expression
Wasf2	Wasf2	Gene Expression
Tmem222	Tmem222	Gene Expression
Wdtc1	Wdtc1	Gene Expression
Slc9a1	Slc9a1	Gene Expression
Kdf1	Kdf1	Gene Expression
Nudc	Nudc	Gene Expression
Nr0b2	Nr0b2	Gene Expression
Gpatch3	Gpatch3	Gene Expression
Gpn2	Gpn2	Gene Expression
Sfn	Sfn	Gene Expression
Zdhhc18	Zdhhc18	Gene Expression
Pigv	Pigv	Gene Expression
Arid1a	Arid1a	Gene Expression
Rps6ka1	Rps6ka1	Gene Expression
Hmgn2	Hmgn2	Gene Expression
Dhdds	Dhdds	Gene Expression
Crybg2	Crybg2	Gene Expression
Cd52	Cd52	Gene Expression
Sh3bgrl3	Sh3bgrl3	Gene Expression
Cep85	Cep85	Gene Expression
Zfp593	Zfp593	Gene Expression
Pdik1l	Pdik1l	Gene Expression
Extl1	Extl1	Gene Expression
Pafah2	Pafah2	Gene Expression
Stmn1	Stmn1	Gene Expression
Paqr7	Paqr7	Gene Expression
Aunip	Aunip	Gene Expression
Mtfr1l	Mtfr1l	Gene Expression
Selenon	Selenon	Gene Expression
Man1c1	Man1c1	Gene Expression
Ldlrap1	Ldlrap1	Gene Expression
Tmem57	Tmem57	Gene Expression
Tmem50a	Tmem50a	Gene Expression
Rsrp1	Rsrp1	Gene Expression
Syf2	Syf2	Gene Expression
Clic4	Clic4	Gene Expression
Srrm1	Srrm1	Gene Expression
Ncmap	Ncmap	Gene Expression
Rcan3	Rcan3	Gene Expression
Nipal3	Nipal3	Gene Expression
Myom3	Myom3	Gene Expression
Srsf10	Srsf10	Gene Expression
Pnrc2	Pnrc2	Gene Expression
Cnr2	Cnr2	Gene Expression
Fuca1	Fuca1	Gene Expression
Hmgcl	Hmgcl	Gene Expression
Gale	Gale	Gene Expression
Lypla2	Lypla2	Gene Expression
Pithd1	Pithd1	Gene Expression
Eloa	Eloa	Gene Expression
Rpl11	Rpl11	Gene Expression
Id3	Id3	Gene Expression
E2f2	E2f2	Gene Expression
Asap3	Asap3	Gene Expression
Tcea3	Tcea3	Gene Expression
Zfp46	Zfp46	Gene Expression
Hnrnpr	Hnrnpr	Gene Expression
Htr1d	Htr1d	Gene Expression
Luzp1	Luzp1	Gene Expression
Kdm1a	Kdm1a	Gene Expression
C1qb	C1qb	Gene Expression
C1qc	C1qc	Gene Expression
C1qa	C1qa	Gene Expression
Zbtb40	Zbtb40	Gene Expression
Wnt4	Wnt4	Gene Expression
Cdc42	Cdc42	Gene Expression
Hspg2	Hspg2	Gene Expression
Usp48	Usp48	Gene Expression
Rap1gap	Rap1gap	Gene Expression
Rap1gapos	Rap1gapos	Gene Expression
Alpl	Alpl	Gene Expression
Ece1	Ece1	Gene Expression
Eif4g3	Eif4g3	Gene Expression
Hp1bp3	Hp1bp3	Gene Expression
Ddost	Ddost	Gene Expression
Pink1	Pink1	Gene Expression
Cda	Cda	Gene Expression
Mul1	Mul1	Gene Expression
Camk2n1	Camk2n1	Gene Expression
Otud3	Otud3	Gene Expression
Rnf186	Rnf186	Gene Expression
Tmco4	Tmco4	Gene Expression
Nbl1	Nbl1	Gene Expression
Minos1	Minos1	Gene Expression
Capzb	Capzb	Gene Expression
Pqlc2	Pqlc2	Gene Expression
Akr7a5	Akr7a5	Gene Expression
Mrto4	Mrto4	Gene Expression
Emc1	Emc1	Gene Expression
Ubr4	Ubr4	Gene Expression
2700016F22Rik	2700016F22Rik	Gene Expression
Iffo2	Iffo2	Gene Expression
Aldh4a1	Aldh4a1	Gene Expression
Klhdc7a	Klhdc7a	Gene Expression
Gm13021	Gm13021	Gene Expression
Arhgef10l	Arhgef10l	Gene Expression
Rcc2	Rcc2	Gene Expression
Sdhb	Sdhb	Gene Expression
Atp13a2	Atp13a2	Gene Expression
Crocc	Crocc	Gene Expression
Necap2	Necap2	Gene Expression
Szrd1	Szrd1	Gene Expression
Fbxo42	Fbxo42	Gene Expression
Arhgef19	Arhgef19	Gene Expression
Gm13056	Gm13056	Gene Expression
Epha2	Epha2	Gene Expression
Fam131c	Fam131c	Gene Expression
Gm13075	Gm13075	Gene Expression
Zbtb17	Zbtb17	Gene Expression
Spen	Spen	Gene Expression
Fblim1	Fblim1	Gene Expression
Tmem82	Tmem82	Gene Expression
Slc25a34	Slc25a34	Gene Expression
Plekhm2	Plekhm2	Gene Expression
Ddi2	Ddi2	Gene Expression
Agmat	Agmat	Gene Expression
Dnajc16	Dnajc16	Gene Expression
Casp9	Casp9	Gene Expression
Cela2a	Cela2a	Gene Expression
Efhd2	Efhd2	Gene Expression
Fhad1	Fhad1	Gene Expression
Tmem51	Tmem51	Gene Expression
Tmem51os1	Tmem51os1	Gene Expression
Kazn	Kazn	Gene Expression
Prdm2	Prdm2	Gene Expression
Pramef8	Pramef8	Gene Expression
Dhrs3	Dhrs3	Gene Expression
Vps13d	Vps13d	Gene Expression
Tnfrsf1b	Tnfrsf1b	Gene Expression
Gm13166	Gm13166	Gene Expression
Zfp992	Zfp992	Gene Expression
Gm26880	Gm26880	Gene Expression
4933438K21Rik	4933438K21Rik	Gene Expression
Zfp991	Zfp991	Gene Expression
Zfp979	Zfp979	Gene Expression
Zfp933	Zfp933	Gene Expression
Miip	Miip	Gene Expression
Mfn2	Mfn2	Gene Expression
Plod1	Plod1	Gene Expression
2510039O18Rik	2510039O18Rik	Gene Expression
Clcn6	Clcn6	Gene Expression
Mthfr	Mthfr	Gene Expression
Agtrap	Agtrap	Gene Expression
Mad2l2	Mad2l2	Gene Expression
Fbxo6	Fbxo6	Gene Expression
Ubiad1	Ubiad1	Gene Expression
Mtor	Mtor	Gene Expression
Exosc10	Exosc10	Gene Expression
Srm	Srm	Gene Expression
Masp2	Masp2	Gene Expression
Tardbp	Tardbp	Gene Expression
Gm13203	Gm13203	Gene Expression
Casz1	Casz1	Gene Expression
Pex14	Pex14	Gene Expression
Dffa	Dffa	Gene Expression
Cenps	Cenps	Gene Expression
Pgd	Pgd	Gene Expression
Kif1b	Kif1b	Gene Expression
Ube4b	Ube4b	Gene Expression
Nmnat1	Nmnat1	Gene Expression
Lzic	Lzic	Gene Expression
Ctnnbip1	Ctnnbip1	Gene Expression
Clstn1	Clstn1	Gene Expression
Pik3cd	Pik3cd	Gene Expression
Tmem201	Tmem201	Gene Expression
Slc25a33	Slc25a33	Gene Expression
Spsb1	Spsb1	Gene Expression
H6pd	H6pd	Gene Expression
Gpr157	Gpr157	Gene Expression
Slc2a5	Slc2a5	Gene Expression
Car6	Car6	Gene Expression
Eno1	Eno1	Gene Expression
Rere	Rere	Gene Expression
Errfi1	Errfi1	Gene Expression
Park7	Park7	Gene Expression
Camta1	Camta1	Gene Expression
Per3	Per3	Gene Expression
Vamp3	Vamp3	Gene Expression
Dnajc11	Dnajc11	Gene Expression
Thap3	Thap3	Gene Expression
Phf13	Phf13	Gene Expression
Klhl21	Klhl21	Gene Expression
Zbtb48	Zbtb48	Gene Expression
Nol9	Nol9	Gene Expression
Plekhg5	Plekhg5	Gene Expression
Espn	Espn	Gene Expression
Acot7	Acot7	Gene Expression
Gpr153	Gpr153	Gene Expression
Icmt	Icmt	Gene Expression
Rpl22	Rpl22	Gene Expression
A430005L14Rik	A430005L14Rik	Gene Expression
Dffb	Dffb	Gene Expression
Cep104	Cep104	Gene Expression
Lrrc47	Lrrc47	Gene Expression
Smim1	Smim1	Gene Expression
Wrap73	Wrap73	Gene Expression
Tprgl	Tprgl	Gene Expression
Arhgef16	Arhgef16	Gene Expression
Prdm16	Prdm16	Gene Expression
Fam213b	Fam213b	Gene Expression
Tnfrsf14	Tnfrsf14	Gene Expression
Pank4	Pank4	Gene Expression
Pex10	Pex10	Gene Expression
Rer1	Rer1	Gene Expression
Morn1	Morn1	Gene Expression
Ski	Ski	Gene Expression
Faap20	Faap20	Gene Expression
Prkcz	Prkcz	Gene Expression
Gnb1	Gnb1	Gene Expression
Nadk	Nadk	Gene Expression
Slc35e2	Slc35e2	Gene Expression
Cdk11b	Cdk11b	Gene Expression
Mmp23	Mmp23	Gene Expression
Mib2	Mib2	Gene Expression
Fndc10	Fndc10	Gene Expression
Ssu72	Ssu72	Gene Expression
Atad3a	Atad3a	Gene Expression
Atad3aos	Atad3aos	Gene Expression
Vwa1	Vwa1	Gene Expression
Tmem88b	Tmem88b	Gene Expression
Mrpl20	Mrpl20	Gene Expression
Ccnl2	Ccnl2	Gene Expression
Aurkaip1	Aurkaip1	Gene Expression
Mxra8	Mxra8	Gene Expression
Dvl1	Dvl1	Gene Expression
Cptp	Cptp	Gene Expression
Ints11	Ints11	Gene Expression
Pusl1	Pusl1	Gene Expression
Acap3	Acap3	Gene Expression
Ube2j2	Ube2j2	Gene Expression
C1qtnf12	C1qtnf12	Gene Expression
B3galt6	B3galt6	Gene Expression
Sdf4	Sdf4	Gene Expression
Gm16008	Gm16008	Gene Expression
9430015G10Rik	9430015G10Rik	Gene Expression
Agrn	Agrn	Gene Expression
Isg15	Isg15	Gene Expression
AW011738	AW011738	Gene Expression
Plekhn1	Plekhn1	Gene Expression
Noc2l	Noc2l	Gene Expression
Cdk6	Cdk6	Gene Expression
Fam133b	Fam133b	Gene Expression
Rbm48	Rbm48	Gene Expression
Pex1	Pex1	Gene Expression
4833413G10Rik	4833413G10Rik	Gene Expression
Gatad1	Gatad1	Gene Expression
Ankib1	Ankib1	Gene Expression
Krit1	Krit1	Gene Expression
Lrrd1	Lrrd1	Gene Expression
Mterf1a	Mterf1a	Gene Expression
Akap9	Akap9	Gene Expression
Cyp51	Cyp51	Gene Expression
Mterf1b	Mterf1b	Gene Expression
Fzd1	Fzd1	Gene Expression
Cdk14	Cdk14	Gene Expression
Cldn12	Cldn12	Gene Expression
Gtpbp10	Gtpbp10	Gene Expression
Steap2	Steap2	Gene Expression
Gm26825	Gm26825	Gene Expression
Steap4	Steap4	Gene Expression
Sri	Sri	Gene Expression
Dbf4	Dbf4	Gene Expression
Slc25a40	Slc25a40	Gene Expression
Abcb1a	Abcb1a	Gene Expression
Abcb1b	Abcb1b	Gene Expression
Abcb4	Abcb4	Gene Expression
Crot	Crot	Gene Expression
Gm15611	Gm15611	Gene Expression
Gm40264	Gm40264	Gene Expression
Tmem243	Tmem243	Gene Expression
Dmtf1	Dmtf1	Gene Expression
9330182L06Rik	9330182L06Rik	Gene Expression
Sema3d	Sema3d	Gene Expression
Pclo	Pclo	Gene Expression
Cacna2d1	Cacna2d1	Gene Expression
Hgf	Hgf	Gene Expression
Cd36	Cd36	Gene Expression
Gnai1	Gnai1	Gene Expression
Phtf2	Phtf2	Gene Expression
Tmem60	Tmem60	Gene Expression
Rsbn1l	Rsbn1l	Gene Expression
A630072M18Rik	A630072M18Rik	Gene Expression
Ptpn12	Ptpn12	Gene Expression
Gsap	Gsap	Gene Expression
Fgl2	Fgl2	Gene Expression
Fam185a	Fam185a	Gene Expression
Armc10	Armc10	Gene Expression
Napepld	Napepld	Gene Expression
Pmpcb	Pmpcb	Gene Expression
Dnajc2	Dnajc2	Gene Expression
Psmc2	Psmc2	Gene Expression
Reln	Reln	Gene Expression
Orc5	Orc5	Gene Expression
6030443J06Rik	6030443J06Rik	Gene Expression
5031425E22Rik	5031425E22Rik	Gene Expression
Kmt2e	Kmt2e	Gene Expression
Srpk2	Srpk2	Gene Expression
Pus7	Pus7	Gene Expression
Rint1	Rint1	Gene Expression
Tomm7	Tomm7	Gene Expression
Fam126a	Fam126a	Gene Expression
Klhl7	Klhl7	Gene Expression
Nupl2	Nupl2	Gene Expression
Nos3	Nos3	Gene Expression
Abcb8	Abcb8	Gene Expression
Cdk5	Cdk5	Gene Expression
Slc4a2	Slc4a2	Gene Expression
Fastk	Fastk	Gene Expression
Tmub1	Tmub1	Gene Expression
2310074N15Rik	2310074N15Rik	Gene Expression
Agap3	Agap3	Gene Expression
Abcf2	Abcf2	Gene Expression
Chpf2	Chpf2	Gene Expression
Smarcd3	Smarcd3	Gene Expression
Nub1	Nub1	Gene Expression
Crygn	Crygn	Gene Expression
Rheb	Rheb	Gene Expression
Prkag2	Prkag2	Gene Expression
Galnt11	Galnt11	Gene Expression
Kmt2c	Kmt2c	Gene Expression
4831440E17Rik	4831440E17Rik	Gene Expression
1700096K18Rik	1700096K18Rik	Gene Expression
Xrcc2	Xrcc2	Gene Expression
Paxip1	Paxip1	Gene Expression
Gm26608	Gm26608	Gene Expression
Insig1	Insig1	Gene Expression
Rbm33	Rbm33	Gene Expression
Rnf32	Rnf32	Gene Expression
Lmbr1	Lmbr1	Gene Expression
Nom1	Nom1	Gene Expression
Ube3c	Ube3c	Gene Expression
Dnajb6	Dnajb6	Gene Expression
Tyms	Tyms	Gene Expression
Hadha	Hadha	Gene Expression
Hadhb	Hadhb	Gene Expression
Selenoi	Selenoi	Gene Expression
Drc1	Drc1	Gene Expression
Slc35f6	Slc35f6	Gene Expression
Cenpa	Cenpa	Gene Expression
Mapre3	Mapre3	Gene Expression
Tmem214	Tmem214	Gene Expression
Agbl5	Agbl5	Gene Expression
Ost4	Ost4	Gene Expression
Emilin1	Emilin1	Gene Expression
Khk	Khk	Gene Expression
Cgref1	Cgref1	Gene Expression
Preb	Preb	Gene Expression
Slc5a6	Slc5a6	Gene Expression
Atraid	Atraid	Gene Expression
Cad	Cad	Gene Expression
Slc30a3	Slc30a3	Gene Expression
Mpv17	Mpv17	Gene Expression
Gtf3c2	Gtf3c2	Gene Expression
Eif2b4	Eif2b4	Gene Expression
Snx17	Snx17	Gene Expression
Zfp513	Zfp513	Gene Expression
Ppm1g	Ppm1g	Gene Expression
Nrbp1	Nrbp1	Gene Expression
Krtcap3	Krtcap3	Gene Expression
Ift172	Ift172	Gene Expression
Fndc4	Fndc4	Gene Expression
Gckr	Gckr	Gene Expression
Zfp512	Zfp512	Gene Expression
Gpn1	Gpn1	Gene Expression
Supt7l	Supt7l	Gene Expression
Slc4a1ap	Slc4a1ap	Gene Expression
Mrpl33	Mrpl33	Gene Expression
Rbks	Rbks	Gene Expression
Babam2	Babam2	Gene Expression
Fosl2	Fosl2	Gene Expression
Ppp1cb	Ppp1cb	Gene Expression
Yes1	Yes1	Gene Expression
Pisd	Pisd	Gene Expression
Prr14l	Prr14l	Gene Expression
Depdc5	Depdc5	Gene Expression
Ywhah	Ywhah	Gene Expression
Slc5a1	Slc5a1	Gene Expression
Spon2	Spon2	Gene Expression
Ctbp1	Ctbp1	Gene Expression
Maea	Maea	Gene Expression
Uvssa	Uvssa	Gene Expression
Fam53a	Fam53a	Gene Expression
Slbp	Slbp	Gene Expression
Tmem129	Tmem129	Gene Expression
Tacc3	Tacc3	Gene Expression
Fgfr3	Fgfr3	Gene Expression
Letm1	Letm1	Gene Expression
Nsd2	Nsd2	Gene Expression
Nelfa	Nelfa	Gene Expression
Gm1673	Gm1673	Gene Expression
Haus3	Haus3	Gene Expression
Mxd4	Mxd4	Gene Expression
Rnf4	Rnf4	Gene Expression
Fam193a	Fam193a	Gene Expression
Tnip2	Tnip2	Gene Expression
Sh3bp2	Sh3bp2	Gene Expression
Add1	Add1	Gene Expression
Mfsd10	Mfsd10	Gene Expression
Nop14	Nop14	Gene Expression
Grk4	Grk4	Gene Expression
Htt	Htt	Gene Expression
Rgs12	Rgs12	Gene Expression
Hgfac	Hgfac	Gene Expression
Lrpap1	Lrpap1	Gene Expression
Trmt44	Trmt44	Gene Expression
Acox3	Acox3	Gene Expression
Sh3tc1	Sh3tc1	Gene Expression
Ablim2	Ablim2	Gene Expression
Afap1	Afap1	Gene Expression
2210406O10Rik	2210406O10Rik	Gene Expression
Grpel1	Grpel1	Gene Expression
Tada2b	Tada2b	Gene Expression
Ccdc96	Ccdc96	Gene Expression
Tbc1d14	Tbc1d14	Gene Expression
D5Ertd579e	D5Ertd579e	Gene Expression
Bloc1s4	Bloc1s4	Gene Expression
Mrfap1	Mrfap1	Gene Expression
Man2b2	Man2b2	Gene Expression
Wfs1	Wfs1	Gene Expression
Evc	Evc	Gene Expression
Evc2	Evc2	Gene Expression
Stx18	Stx18	Gene Expression
Nsg1	Nsg1	Gene Expression
Zbtb49	Zbtb49	Gene Expression
Lyar	Lyar	Gene Expression
Tmem128	Tmem128	Gene Expression
Slc2a9	Slc2a9	Gene Expression
Wdr1	Wdr1	Gene Expression
Zfp518b	Zfp518b	Gene Expression
Rab28	Rab28	Gene Expression
Bod1l	Bod1l	Gene Expression
Gm7854	Gm7854	Gene Expression
Cpeb2	Cpeb2	Gene Expression
Cc2d2a	Cc2d2a	Gene Expression
Fbxl5	Fbxl5	Gene Expression
Bst1	Bst1	Gene Expression
Cd38	Cd38	Gene Expression
Gm7879	Gm7879	Gene Expression
Prom1	Prom1	Gene Expression
Tapt1	Tapt1	Gene Expression
Ldb2	Ldb2	Gene Expression
Qdpr	Qdpr	Gene Expression
Lap3	Lap3	Gene Expression
Med28	Med28	Gene Expression
Fam184b	Fam184b	Gene Expression
Ncapg	Ncapg	Gene Expression
Lcorl	Lcorl	Gene Expression
5730480H06Rik	5730480H06Rik	Gene Expression
Adgra3	Adgra3	Gene Expression
Ppargc1a	Ppargc1a	Gene Expression
Dhx15	Dhx15	Gene Expression
